"ID","Group","Crim","Indirect","Reward","Susp","DirectCode","IndirectCode"
"001",2,4,1,4,5,"2.5",NA
"001",2,4,1,4,5,"2.5","1.5"
"002",2,4,0,4,5,"2.5","1.5"
"002",2,4,0,4,5,"2.5","0.5"
"003",1,3,1,3,4,"1.4","0.5"
"003",1,3,1,3,4,"1.4","1.4"
"004",2,1,0,1,2,"2.2","1.4"
"004",2,1,0,1,2,"2.2","0.2"
"005",1,3,0,3,3,"1.3","0.3"
"007",1,2,0,2,2,"1.2","1.4"
"007",1,2,0,2,2,"1.2","0.2"
"008",2,1,1,1,3,"2.3","0.2"
"008",2,1,1,1,3,"2.3","1.3"
"009",1,4,0,4,4,"1.4","1.3"
"010",1,3,0,3,4,"1.4","0.4"
"010",1,3,0,3,4,"1.4","0.4"
"011",2,3,1,3,4,"2.4","1.4"
"012",2,1,1,1,2,"2.2","1.4"
"013",1,3,1,3,3,"1.3","1.2"
"013",1,3,1,3,3,"1.3","1.3"
"014",1,3,1,3,3,"1.3","1.3"
"014",1,3,1,3,3,"1.3","1.3"
"015",1,4,1,4,5,"1.5","1.3"
"015",1,4,1,4,5,"1.5","1.5"
"016",1,4,0,4,6,"1.6","1.5"
"016",1,4,0,4,6,"1.6","0.6"
"017",1,3,0,3,3,"1.3","0.6"
"017",1,3,0,3,3,"1.3","0.3"
"018",2,2,1,2,4,"2.4","1.4"
"019",1,4,1,4,3,"1.3","1.4"
"019",1,4,1,4,3,"1.3","1.3"
"020",1,2,0,2,3,"1.3","1.3"
"020",1,2,0,2,3,"1.3","0.3"
"021",1,4,0,4,5,"1.5","0.3"
"021",1,4,0,4,5,"1.5","0.5"
"022",1,2,0,2,2,"1.2","0.5"
"022",1,2,0,2,2,"1.2","0.2"
"024",1,4,1,4,5,"1.5","0.3"
"024",1,4,1,4,5,"1.5","1.5"
"025",1,4,1,4,5,"1.5","1.5"
"026",2,2,0,2,3,"2.3","0.3"
"027",2,2,0,2,4,"2.4","0.3"
"028",2,2,1,2,2,"2.2","0.4"
"028",2,2,1,2,2,"2.2","1.2"
"029",1,3,0,3,4,"1.4","1.2"
"029",1,3,0,3,4,"1.4","0.4"
"032",2,4,0,4,4,"2.4","0.3"
"032",2,4,0,4,4,"2.4","0.4"
"033",1,3,0,3,3,"1.3","0.4"
"034",1,4,0,4,4,"1.4","0.4"
"035",1,2,1,2,1,"1.1","0.4"
"035",1,2,1,2,1,"1.1","1.1"
"036",1,2,0,2,1,"1.1","0.1"
"037",1,1,1,1,1,"1.1","1.1"
"038",1,1,1,1,2,"1.2","1.1"
"038",1,1,1,1,2,"1.2","1.2"
"039",1,3,1,3,4,"1.4","1.2"
"039",1,3,1,3,4,"1.4","1.4"
"040",1,3,1,3,3,"1.3","1.4"
"040",1,3,1,3,3,"1.3","1.3"
"041",1,2,0,2,1,"1.1","1.3"
"041",1,2,0,2,1,"1.1","0.1"
"042",1,2,0,2,2,"1.2","0.1"
"042",1,2,0,2,2,"1.2","0.2"
"043",1,3,0,3,2,"1.2","0.2"
"044",1,3,0,3,2,"1.2","0.2"
"045",2,1,1,1,1,"2.1","0.2"
"045",2,1,1,1,1,"2.1","1.1"
"046",2,4,0,4,7,"2.7","1.1"
"046",2,4,0,4,7,"2.7","0.7"
"047",1,3,0,3,4,"1.4","0.4"
"048",1,1,0,1,2,"1.2","0.2"
"049",1,3,1,3,3,"1.3","0.2"
"050",1,1,1,1,0,"1.0","1.3"
"050",1,1,1,1,0,"1.0","1.0"
"051",1,2,1,2,2,"1.2","1.0"
"051",1,2,1,2,2,"1.2","1.2"
"052",2,1,1,1,2,"2.2","1.2"
"053",1,1,0,1,0,"1.0","1.2"
"053",1,1,0,1,0,"1.0","0.0"
"054",2,1,1,1,0,"2.0","1.0"
"055",1,4,1,4,5,"1.5","1.0"
"056",1,1,1,1,2,"1.2","1.5"
"056",1,1,1,1,2,"1.2","1.2"
"057",1,4,0,4,4,"1.4","1.2"
"057",1,4,0,4,4,"1.4","0.4"
"058",1,2,1,2,1,"1.1","0.4"
"058",1,2,1,2,1,"1.1","1.1"
"059",2,1,0,1,2,"2.2","1.1"
"059",2,1,0,1,2,"2.2","0.2"
"060",1,2,1,2,1,"1.1","0.2"
"061",1,2,1,2,3,"1.3","1.1"
"061",1,2,1,2,3,"1.3","1.3"
"063",1,4,0,4,5,"1.5","1.0"
"063",1,4,0,4,5,"1.5","0.5"
