"","unlist.policytest.","State"
"X20.103.1.9.123.1.0","Left","20.103.1.9.123.1.0"
"X19.138.1.4.121.1.4","Left","19.138.1.4.121.1.4"
"X17.131.1.8.103.1.2","Left","17.131.1.8.103.1.2"
"X19.139.2.9.105.1.5","Left","19.139.2.9.105.1.5"
"X19.114.1.7.116.1.3","Left","19.114.1.7.116.1.3"
"X17.111.1.1.103.1.8","Right","17.111.1.1.103.1.8"
"X20.123.2.9.102.1.6","Left","20.123.2.9.102.1.6"
"X17.126.2.5.104.1.1","Left","17.126.2.5.104.1.1"
"X17.111.1.9.107.1.1","Left","17.111.1.9.107.1.1"
"X17.140.2.9.100.2.2","Left","17.140.2.9.100.2.2"
"X20.124.1.5.101.1.0","Left","20.124.1.5.101.1.0"
"X19.131.1.6.104.1.2","Left","19.131.1.6.104.1.2"
"X19.122.2.3.104.1.0","Left","19.122.2.3.104.1.0"
"X17.132.1.3.113.1.5","Right","17.132.1.3.113.1.5"
"X19.131.1.6.104.1.7","Right","19.131.1.6.104.1.7"
"X19.100.1.1.112.1.3","Right","19.100.1.1.112.1.3"
"X17.116.1.0.102.1.9","Right","17.116.1.0.102.1.9"
"X20.125.1.8.131.1.9","Right","20.125.1.8.131.1.9"
"X17.138.1.4.121.1.4","Left","17.138.1.4.121.1.4"
"X20.140.1.7.133.1.1","Left","20.140.1.7.133.1.1"
"X20.118.1.6.107.1.2","Left","20.118.1.6.107.1.2"
"X20.106.2.8.110.1.2","Left","20.106.2.8.110.1.2"
"X20.114.1.3.138.1.1","Left","20.114.1.3.138.1.1"
"X17.131.1.0.110.1.1","Right","17.131.1.0.110.1.1"
"X17.114.1.7.116.1.3","Left","17.114.1.7.116.1.3"
"X19.101.2.5.125.1.0","Left","19.101.2.5.125.1.0"
"X19.126.1.2.123.1.7","Right","19.126.1.2.123.1.7"
"X19.136.2.7.114.1.2","Left","19.136.2.7.114.1.2"
"X19.139.1.7.124.1.4","Left","19.139.1.7.124.1.4"
"X19.128.2.4.102.1.9","Right","19.128.2.4.102.1.9"
"X20.115.1.3.100.1.1","Left","20.115.1.3.100.1.1"
"X20.115.1.3.110.2.4","Left","20.115.1.3.110.2.4"
"X17.132.1.8.115.2.5","Left","17.132.1.8.115.2.5"
"X19.140.2.9.100.2.2","Left","19.140.2.9.100.2.2"
"X19.103.1.9.112.2.6","Left","19.103.1.9.112.2.6"
"X19.137.1.1.110.1.2","Right","19.137.1.1.110.1.2"
"X20.135.2.4.140.1.3","Right","20.135.2.4.140.1.3"
"X17.120.2.9.116.2.1","Left","17.120.2.9.116.2.1"
"X19.126.1.1.124.1.5","Right","19.126.1.1.124.1.5"
"X17.123.1.8.115.1.6","Left","17.123.1.8.115.1.6"
"X20.133.1.5.123.1.4","Left","20.133.1.5.123.1.4"
"X17.120.1.8.109.2.1","Left","17.120.1.8.109.2.1"
"X20.127.2.8.110.1.3","Left","20.127.2.8.110.1.3"
"X17.139.1.7.124.1.4","Left","17.139.1.7.124.1.4"
"X20.123.1.7.129.1.1","Left","20.123.1.7.129.1.1"
"X20.123.2.0.135.2.6","Right","20.123.2.0.135.2.6"
"X20.133.1.2.110.2.4","Left","20.133.1.2.110.2.4"
"X17.137.2.7.124.1.9","Right","17.137.2.7.124.1.9"
"X20.124.1.2.100.2.3","Left","20.124.1.2.100.2.3"
"X19.113.2.5.114.2.2","Left","19.113.2.5.114.2.2"
"X20.113.1.1.128.2.9","Right","20.113.1.1.128.2.9"
"X19.110.1.4.113.1.9","Right","19.110.1.4.113.1.9"
"X17.126.1.1.124.1.5","Right","17.126.1.1.124.1.5"
"X20.118.1.3.125.1.0","Left","20.118.1.3.125.1.0"
"X17.131.1.7.127.1.0","Left","17.131.1.7.127.1.0"
"X17.111.1.8.101.1.7","Left","17.111.1.8.101.1.7"
"X19.130.1.8.110.1.0","Left","19.130.1.8.110.1.0"
"X17.106.2.3.108.2.1","Left","17.106.2.3.108.2.1"
"X17.128.2.4.102.1.9","Right","17.128.2.4.102.1.9"
"X19.103.2.4.115.1.9","Right","19.103.2.4.115.1.9"
"X19.105.1.2.108.1.9","Right","19.105.1.2.108.1.9"
"X17.139.1.1.130.1.5","Right","17.139.1.1.130.1.5"
"X20.104.1.4.136.1.0","Left","20.104.1.4.136.1.0"
"X17.125.2.6.101.1.8","Right","17.125.2.6.101.1.8"
"X19.132.1.3.106.1.0","Left","19.132.1.3.106.1.0"
"X19.126.1.2.138.1.7","Right","19.126.1.2.138.1.7"
"X19.119.1.6.106.1.4","Left","19.119.1.6.106.1.4"
"X17.124.1.7.100.2.2","Left","17.124.1.7.100.2.2"
"X17.128.1.5.137.1.1","Left","17.128.1.5.137.1.1"
"X17.121.1.0.128.1.7","Right","17.121.1.0.128.1.7"
"X19.102.1.9.138.2.9","Left","19.102.1.9.138.2.9"
"X17.122.1.6.103.2.6","Left","17.122.1.6.103.2.6"
"X20.110.1.4.102.1.1","Left","20.110.1.4.102.1.1"
"X17.129.2.0.125.1.9","Right","17.129.2.0.125.1.9"
"X19.121.1.7.118.1.5","Left","19.121.1.7.118.1.5"
"X17.114.1.3.136.2.8","Right","17.114.1.3.136.2.8"
"X19.119.2.5.127.1.1","Left","19.119.2.5.127.1.1"
"X17.122.1.0.129.2.5","Right","17.122.1.0.129.2.5"
"X17.103.2.1.127.1.3","Right","17.103.2.1.127.1.3"
"X19.105.1.6.102.1.1","Left","19.105.1.6.102.1.1"
"X17.134.1.1.129.1.8","Right","17.134.1.1.129.1.8"
"X20.103.1.1.115.1.6","Right","20.103.1.1.115.1.6"
"X20.102.2.4.133.1.0","Left","20.102.2.4.133.1.0"
"X20.120.2.2.136.1.2","Right","20.120.2.2.136.1.2"
"X19.131.1.8.103.1.2","Left","19.131.1.8.103.1.2"
"X19.128.1.5.137.1.1","Left","19.128.1.5.137.1.1"
"X19.123.1.1.107.1.3","Right","19.123.1.1.107.1.3"
"X19.111.1.8.101.1.7","Left","19.111.1.8.101.1.7"
"X20.127.2.0.132.1.0","Left","20.127.2.0.132.1.0"
"X17.123.1.4.109.2.1","Left","17.123.1.4.109.2.1"
"X19.111.1.1.103.1.8","Right","19.111.1.1.103.1.8"
"X20.119.1.4.131.1.4","Left","20.119.1.4.131.1.4"
"X17.139.2.9.105.1.5","Left","17.139.2.9.105.1.5"
"X17.103.1.0.140.1.5","Right","17.103.1.0.140.1.5"
"X19.124.1.7.100.2.2","Left","19.124.1.7.100.2.2"
"X19.137.1.5.115.1.5","Left","19.137.1.5.115.1.5"
"X19.106.2.3.108.2.1","Left","19.106.2.3.108.2.1"
"X20.121.1.6.107.1.4","Left","20.121.1.6.107.1.4"
"X17.138.1.8.140.1.1","Left","17.138.1.8.140.1.1"
"X19.114.1.3.136.2.8","Right","19.114.1.3.136.2.8"
"X19.125.2.6.101.1.8","Right","19.125.2.6.101.1.8"
"X20.108.1.4.136.1.2","Left","20.108.1.4.136.1.2"
"X17.100.1.9.134.1.5","Left","17.100.1.9.134.1.5"
"X17.122.2.3.104.1.0","Left","17.122.2.3.104.1.0"
"X19.116.1.0.102.1.9","Right","19.116.1.0.102.1.9"
"X19.111.1.1.117.2.3","Left","19.111.1.1.117.2.3"
"X20.119.2.4.137.1.2","Left","20.119.2.4.137.1.2"
"X20.118.1.4.139.1.7","Right","20.118.1.4.139.1.7"
"X20.116.1.4.105.2.5","Left","20.116.1.4.105.2.5"
"X17.100.1.1.112.1.3","Right","17.100.1.1.112.1.3"
"X17.106.1.7.115.2.4","Left","17.106.1.7.115.2.4"
"X17.126.1.2.138.1.7","Right","17.126.1.2.138.1.7"
"X20.107.1.3.115.1.5","Right","20.107.1.3.115.1.5"
"X17.135.1.7.104.1.7","Left","17.135.1.7.104.1.7"
"X20.117.1.2.112.1.4","Right","20.117.1.2.112.1.4"
"X17.102.1.9.138.2.9","Left","17.102.1.9.138.2.9"
"X17.109.1.9.107.1.3","Left","17.109.1.9.107.1.3"
"X20.104.1.7.118.1.3","Left","20.104.1.7.118.1.3"
"X20.116.1.1.114.1.3","Right","20.116.1.1.114.1.3"
"X19.103.1.0.140.1.5","Right","19.103.1.0.140.1.5"
"X17.111.1.8.140.1.3","Left","17.111.1.8.140.1.3"
"X19.121.1.0.128.1.7","Right","19.121.1.0.128.1.7"
"X19.116.2.5.115.2.8","Right","19.116.2.5.115.2.8"
"X19.138.1.8.140.1.1","Left","19.138.1.8.140.1.1"
"X17.101.2.5.125.1.0","Left","17.101.2.5.125.1.0"
"X19.122.1.0.129.2.5","Right","19.122.1.0.129.2.5"
"X17.108.1.1.106.1.3","Right","17.108.1.1.106.1.3"
"X17.136.2.7.114.1.2","Left","17.136.2.7.114.1.2"
"X20.138.2.1.128.2.5","Right","20.138.2.1.128.2.5"
"X19.134.1.1.129.1.8","Right","19.134.1.1.129.1.8"
"X19.133.1.1.134.1.1","Left","19.133.1.1.134.1.1"
"X20.105.1.1.129.1.2","Right","20.105.1.1.129.1.2"
"X17.111.1.1.117.2.3","Left","17.111.1.1.117.2.3"
"X17.138.1.9.102.1.2","Left","17.138.1.9.102.1.2"
"X17.102.1.0.109.2.4","Right","17.102.1.0.109.2.4"
"X17.103.1.9.112.2.6","Left","17.103.1.9.112.2.6"
"X19.120.2.9.116.2.1","Left","19.120.2.9.116.2.1"
"X20.119.2.6.137.2.4","Left","20.119.2.6.137.2.4"
"X17.113.2.7.108.1.5","Left","17.113.2.7.108.1.5"
"X19.122.2.0.124.1.0","Left","19.122.2.0.124.1.0"
"X17.117.2.9.138.2.6","Left","17.117.2.9.138.2.6"
"X20.125.1.4.119.1.5","Right","20.125.1.4.119.1.5"
"X17.138.1.3.140.1.6","Right","17.138.1.3.140.1.6"
"X19.135.1.7.104.1.7","Left","19.135.1.7.104.1.7"
"X20.136.1.8.129.1.1","Left","20.136.1.8.129.1.1"
"X19.120.1.8.109.2.1","Left","19.120.1.8.109.2.1"
"X19.127.1.7.119.1.9","Right","19.127.1.7.119.1.9"
"X20.130.1.9.123.1.7","Left","20.130.1.9.123.1.7"
"X19.131.2.5.114.1.7","Right","19.131.2.5.114.1.7"
"X19.111.1.8.140.1.3","Left","19.111.1.8.140.1.3"
"X20.109.1.9.100.2.1","Left","20.109.1.9.100.2.1"
"X20.125.1.6.136.1.0","Left","20.125.1.6.136.1.0"
"X20.131.1.5.113.2.2","Left","20.131.1.5.113.2.2"
"X17.113.2.5.114.2.2","Left","17.113.2.5.114.2.2"
"X17.110.1.4.113.1.9","Right","17.110.1.4.113.1.9"
"X20.137.1.0.108.1.8","Right","20.137.1.0.108.1.8"
"X17.103.2.4.115.1.9","Right","17.103.2.4.115.1.9"
"X20.140.1.6.112.1.8","Right","20.140.1.6.112.1.8"
"X19.111.1.9.107.1.1","Left","19.111.1.9.107.1.1"
"X17.138.1.7.140.2.1","Left","17.138.1.7.140.2.1"
"X20.103.2.3.117.1.4","Right","20.103.2.3.117.1.4"
"X19.122.1.6.103.2.6","Left","19.122.1.6.103.2.6"
"X17.123.1.8.127.2.5","Left","17.123.1.8.127.2.5"
"X19.139.1.8.135.1.4","Left","19.139.1.8.135.1.4"
"X17.112.1.7.108.1.8","Right","17.112.1.7.108.1.8"
"X17.110.1.4.109.2.5","Left","17.110.1.4.109.2.5"
"X17.121.1.7.118.1.5","Left","17.121.1.7.118.1.5"
"X19.138.1.3.140.1.6","Right","19.138.1.3.140.1.6"
"X20.115.2.3.105.1.2","Right","20.115.2.3.105.1.2"
"X20.117.1.9.140.2.5","Left","20.117.1.9.140.2.5"
"X19.113.2.7.108.1.5","Left","19.113.2.7.108.1.5"
"X19.117.2.9.138.2.6","Left","19.117.2.9.138.2.6"
"X20.116.2.6.122.2.1","Left","20.116.2.6.122.2.1"
"X17.102.1.8.123.1.8","Left","17.102.1.8.123.1.8"
"X19.130.1.3.120.1.2","Left","19.130.1.3.120.1.2"
"X19.103.2.1.127.1.3","Right","19.103.2.1.127.1.3"
"X19.131.1.7.127.1.0","Left","19.131.1.7.127.1.0"
