State,Action,NextState,Reward
begin,one,1.1.0,1
begin,two,2.1.0,0
begin,none,step1,0
step1,one,3.2.0,0
step1,two,4.1.0,1
step1,none,step2,0
step2,one,5.2.1,0
step2,two,6.2.0,1
step2,none,end,0
1.1.0,one,end,-5
1.1.0,two,end,-5
1.1.0,none,step1,-0.5
2.1.0,one,end,-5
2.1.0,two,end,-5
2.1.0,none,step1,-0.5
3.2.0,one,end,-5
3.2.0,two,end,-5
3.2.0,none,step2,-0.5
4.1.0,one,end,-5
4.1.0,two,end,-5
4.1.0,none,step2,-0.5
5.2.1,one,end,-5
5.2.1,two,end,-5
5.2.1,none,end,-0.5
6.2.0,one,end,-5
6.2.0,two,end,-5
6.2.0,none,end,-0.5
